Lens Quality,Radius,Thickness,Mold,Length,Curve,Time1,Cure,Energy ,Post_energy,TDose,Shower,TDose 2,"New_shower""",4004,4010,3secT,Holding,Flow,LowTemp,Pressure,Short Time,Aid1G,Aid2g,FSg,MSg,MSBCg
8.549,1.108,0.230,3,14.100,8.452,30.8,305.3,1618.1,18142.45,89.19,1807.50,89.12,1509.55,44.73,41.29,3573.9,0.289999992,10.30000019,0.849999964,600,0.259999991,2450.5000,2712.0000,20652.0000,9794.7500,10857.2500
8.531,1.109,0.230,4,14.090,8.427,33.5,310.9,1647.8,18148.30,89.20,1811.65,89.11,1511.90,44.74,41.25,3566.8,0.289999992,10.30000019,0.849999964,600,0.259999991,2445.5000,2712.7500,20652.0000,9794.7500,10857.2500
8.653,1.104,0.230,1,14.030,8.403,32.3,358.4,1899.3,18188.60,88.66,1666.50,89.27,1464.95,47.05,44.00,1645.7,0.299999982,10,0.899999976,625,0.269999981,2423.5000,2728.2500,20665.5000,9739.5000,10926.0000
8.710,1.111,0.231,2,14.035,8.425,31.7,369.8,1959.7,18194.40,88.66,1652.60,89.28,1464.40,47.07,44.06,1627.1,0.299999982,10,0.899999976,625,0.269999981,2443.7500,2749.2500,20665.5000,9739.5000,10926.0000
8.711,1.108,0.231,3,14.044,8.429,30.4,338.4,1793.3,18159.60,88.68,1640.00,89.26,1467.70,47.04,43.97,1659.3,0.299999982,10,0.899999976,625,0.269999981,2451.7500,2729.2500,20665.5000,9739.5000,10926.0000
8.746,1.115,0.232,4,14.033,8.418,30.7,366.3,1941.1,18188.40,88.67,1660.20,89.24,1480.15,47.06,44.01,1637.2,0.299999982,10,0.899999976,625,0.269999981,2420.5000,2719.2500,20665.5000,9739.5000,10926.0000
8.669,1.102,0.230,1,14.029,8.394,29.8,302.1,1600.9,18138.45,88.89,1462.05,88.78,1665.30,47.26,44.33,1528.5,0.280000001,10,0.799999952,600,0.280000001,2424.7500,2726.0000,20651.5000,9737.5000,10914.0000
8.711,1.109,0.230,2,14.038,8.416,30.1,299.2,1585.8,18134.70,88.89,1461.50,88.78,1665.65,47.25,44.33,1529.7,0.280000001,10,0.799999952,600,0.280000001,2445.0000,2747.5000,20651.5000,9737.5000,10914.0000
8.705,1.105,0.230,3,14.042,8.414,29.2,303.8,1609.9,18140.70,88.89,1453.05,88.74,1670.15,47.20,44.30,1556.1,0.280000001,10,0.799999952,600,0.280000001,2449.0000,2725.7500,20651.5000,9737.5000,10914.0000
8.773,1.116,0.231,4,14.027,8.407,29.7,303.3,1607.5,18139.45,88.88,1454.80,88.78,1662.10,47.26,44.33,1531.4,0.280000001,10,0.799999952,600,0.280000001,2418.7500,2714.7500,20651.5000,9737.5000,10914.0000
