Lens Quality,Radius,Thickness,Mold,Length,Curve,Time1,Cure,Energy ,Post_energy,TDose,Shower,TDose 2,"New_shower""",4004,4010,3secT,Holding,Flow,LowTemp,Pressure,Short Time,Aid1G,Aid2g,FSg,MSg,MSBCg
8.657,1.110,0.228,2,14.057,8.432,29.4,321.4,1703.2,14547.55,89.65,2186.75,88.57,1983.55,47.44,43.94,1795.3,0.299999982,10.59999943,0.849999964,600,0.280000001,0.2438,0.2728,2.0590,0.9731,1.0860
8.675,1.112,0.229,3,14.061,8.446,29.2,315.5,1671.9,14540.35,89.65,2114.30,88.54,2001.40,47.44,43.94,1796.2,0.299999982,10.59999943,0.849999964,600,0.280000001,0.2437,0.2702,2.0590,0.9731,1.0860
8.658,1.104,0.226,4,14.051,8.430,30.0,321.3,1702.9,14547.15,89.66,2134.20,88.58,1981.85,47.45,43.97,1779.5,0.299999982,10.59999943,0.849999964,600,0.280000001,0.2429,0.2715,2.0590,0.9731,1.0860
8.565,1.094,0.226,1,14.065,8.444,29.3,315.8,1673.7,14543.05,89.61,1977.55,88.78,1836.40,48.11,44.25,1580.3,0.289999992,10.30000019,0.849999964,625,0.269999981,0.2425,0.2718,2.0604,0.9733,1.0871
8.657,1.111,0.229,2,14.071,8.437,28.5,310.1,1643.5,14536.85,89.61,1996.85,88.79,1825.85,48.10,44.27,1580.4,0.289999992,10.30000019,0.849999964,625,0.269999981,0.2439,0.2730,2.0604,0.9733,1.0871
8.697,1.114,0.230,3,14.055,8.421,30.5,312.3,1655.2,14538.95,89.62,1999.10,88.77,1833.15,48.08,44.26,1582.5,0.289999992,10.30000019,0.849999964,625,0.269999981,0.2439,0.2708,2.0604,0.9733,1.0871
8.670,1.105,0.227,4,14.075,8.450,29.9,316.3,1676.4,14543.45,89.61,1975.00,88.78,1830.20,48.11,44.27,1583.7,0.289999992,10.30000019,0.849999964,625,0.269999981,0.2431,0.2715,2.0604,0.9733,1.0871
8.567,1.100,0.228,1,14.095,8.469,29.5,393.7,2086.3,14568.95,89.58,1839.05,88.88,1736.05,48.26,44.06,1691.6,0.280000001,10.59999943,0.799999952,600,0.259999991,0.2432,0.2716,2.0609,0.9747,1.0861
8.618,1.111,0.229,2,14.082,8.452,29.5,422.5,2239.3,14582.75,89.59,1840.60,88.90,1732.70,48.25,44.05,1692.8,0.280000001,10.59999943,0.799999952,600,0.259999991,0.2440,0.2730,2.0609,0.9747,1.0861
8.641,1.110,0.228,3,14.086,8.463,31.6,405.6,2149.7,14579.80,89.58,1840.15,88.89,1739.70,48.25,44.05,1690.1,0.280000001,10.59999943,0.799999952,600,0.259999991,0.2442,0.2703,2.0609,0.9747,1.0861
8.593,1.103,0.227,4,14.103,8.481,29.8,375.9,1992.0,14560.60,89.58,1821.15,88.86,1743.00,48.24,44.05,1689.2,0.280000001,10.59999943,0.799999952,600,0.259999991,0.2434,0.2714,2.0609,0.9747,1.0861
8.537,1.096,0.227,1,14.076,8.449,31.2,314.0,1664.2,14539.40,89.52,1712.15,88.86,1824.70,47.99,44.12,1740.4,0.299999982,10.59999943,0.849999964,625,0.280000001,0.2451,0.2729,2.0745,0.9821,1.0924
8.553,1.105,0.228,2,14.089,8.467,30.8,316.3,1676.4,14542.45,89.52,1719.20,88.84,1822.95,47.99,44.13,1752.2,0.299999982,10.59999943,0.849999964,625,0.280000001,0.2447,0.2744,2.0745,0.9821,1.0924
8.550,1.108,0.228,3,14.089,8.469,30.2,311.7,1651.7,14537.10,89.53,1710.35,88.79,1842.65,48.00,44.15,1737.5,0.299999982,10.59999943,0.849999964,625,0.280000001,0.2464,0.2718,2.0745,0.9821,1.0924
8.554,1.104,0.227,4,14.069,8.443,30.6,316.0,1674.8,14541.55,89.52,1714.40,88.85,1825.45,47.98,44.12,1759.6,0.299999982,10.59999943,0.849999964,625,0.280000001,0.2459,0.2734,2.0745,0.9821,1.0924
8.525,1.098,0.227,1,14.083,8.453,28.8,312.5,1656.1,14538.52,89.49,1618.38,89.11,1695.71,48.12,44.03,1799.8,0.299999982,10,0.849999964,625,0.280000001,0.2446,0.2730,2.0744,0.9807,1.0937
8.596,1.110,0.228,2,14.081,8.453,30.9,312.4,1655.6,14538.53,89.46,1589.05,89.06,1716.37,48.08,43.97,1820.8,0.299999982,10,0.849999964,625,0.280000001,0.2459,0.2749,2.0744,0.9807,1.0937
8.629,1.112,0.230,3,14.088,8.465,30.7,314.1,1664.5,14541.40,89.49,1613.75,89.09,1705.00,48.16,43.98,1787.6,0.299999982,10,0.849999964,625,0.280000001,0.2462,0.2734,2.0744,0.9807,1.0937
8.747,1.115,0.229,4,14.077,8.455,30.0,313.1,1659.2,14540.30,89.46,1583.75,89.04,1723.35,48.04,43.95,1834.8,0.299999982,10,0.849999964,625,0.280000001,0.2441,0.2724,2.0744,0.9807,1.0937
8.547,1.101,0.228,1,14.076,8.444,30.1,318.0,1685.1,14545.10,89.58,1649.65,89.41,1630.50,48.23,44.41,1707.0,0.299999982,10,0.799999952,600,0.280000001,0.2440,0.2729,2.0686,0.9760,1.0927
8.627,1.111,0.229,2,14.067,8.431,33.6,319.0,1690.7,14542.40,89.58,1655.60,89.43,1621.25,48.25,44.42,1698.5,0.299999982,10,0.799999952,600,0.280000001,0.2441,0.2743,2.0686,0.9760,1.0927
8.625,1.112,0.227,3,14.076,8.446,29.2,317.5,1682.8,14540.00,89.58,1649.25,89.40,1636.60,48.25,44.41,1696.9,0.299999982,10,0.799999952,600,0.280000001,0.2444,0.2731,2.0686,0.9760,1.0927
8.617,1.110,0.229,4,14.072,8.441,31.0,320.5,1698.7,14542.50,89.58,1641.15,89.37,1650.05,48.26,44.40,1690.0,0.299999982,10,0.799999952,600,0.280000001,0.2435,0.2724,2.0686,0.9760,1.0927
8.590,1.106,0.230,1,14.094,8.468,28.9,293.0,1552.9,14530.30,89.40,1670.90,89.24,1610.50,45.20,44.97,1495.9,0.280000001,10.59999943,0.899999976,600,0.259999991,0.2448,0.2725,2.0693,0.9784,1.0909
8.621,1.114,0.232,2,14.096,8.470,28.9,292.4,1549.5,14529.65,89.40,1665.90,89.25,1605.20,45.19,45.00,1493.2,0.280000001,10.59999943,0.899999976,600,0.259999991,0.2450,0.2740,2.0693,0.9784,1.0909
8.610,1.113,0.228,3,14.098,8.478,29.1,296.6,1571.7,14533.85,89.40,1661.00,89.30,1580.10,45.21,44.97,1503.9,0.280000001,10.59999943,0.899999976,600,0.259999991,0.2448,0.2726,2.0693,0.9784,1.0909
8.638,1.113,0.229,4,14.094,8.474,30.5,293.0,1552.6,14530.65,89.40,1673.30,89.26,1602.65,45.19,44.97,1493.7,0.280000001,10.59999943,0.899999976,600,0.259999991,0.2438,0.2719,2.0693,0.9784,1.0909
8.580,1.107,0.231,1,14.081,8.450,30.2,304.9,1615.7,14542.70,89.35,1556.55,89.52,1521.60,44.42,43.78,1948.2,0.299999982,10.59999943,0.799999952,600,0.280000001,0.2430,0.2725,2.0648,0.9736,1.0912
8.616,1.114,0.232,2,14.101,8.473,30.2,310.4,1645.1,14548.45,89.36,1556.05,89.53,1518.65,44.66,44.00,1854.9,0.299999982,10.59999943,0.799999952,600,0.280000001,0.2442,0.2742,2.0648,0.9736,1.0912
8.621,1.112,0.230,3,14.091,8.461,29.2,305.8,1620.5,14543.45,89.38,1591.45,89.56,1504.30,44.68,43.99,1855.8,0.299999982,10.59999943,0.799999952,600,0.280000001,0.2444,0.2727,2.0648,0.9736,1.0912
